"district","town","precinct","NA.1","NA","NA.3","NA.2","votes"
"","Caledonia","Hardwick","","",28,"Blanks",
"","Windsor","Hartford","","",12,"Blanks",
"","Windsor","Hartford","","",76,"Blanks",
"","Windsor","Hartland","","",30,"Blanks",
"","Franklin","Highgate","","",21,"Blanks",
"","Chittenden","Hinesburg","","",1,"Blanks",
"","Chittenden","Hinesburg","","",40,"Blanks",
"","Orleans","Holland","","",4,"Blanks",
"","Rutland","Hubbardton","","",3,"Blanks",
"","Chittenden","Huntington","","",15,"Blanks",
"","Lamoille","Hyde Park","","",25,"Blanks",
"","Rutland","Ira","","",2,"Blanks",
"","Orleans","Irasburg","","",8,"Blanks",
"","Grand Isle","Isle La Motte","","",10,"Blanks",
"","Windham","Jamaica","","",12,"Blanks",
"","Orleans","Jay","","",8,"Blanks",
"","Chittenden","Jericho","","",47,"Blanks",
"","Lamoille","Johnson","","",30,"Blanks",
"","Rutland","Killington","","",14,"Blanks",
"","Caledonia","Kirby","","",6,"Blanks",
"","Bennington","Landgrove","","",1,"Blanks",
"","Addison","Leicester","","",10,"Blanks",
"","Essex","Lemington","","",0,"Blanks",
"","Addison","Lincoln","","",13,"Blanks",
"","Windham","Londonderry","","",24,"Blanks",
"","Orleans","Lowell","","",14,"Blanks",
"","Windsor","Ludlow","","",19,"Blanks",
"","Essex","Lunenburg","","",15,"Blanks",
"","Caledonia","Lyndon","","",35,"Blanks",
"","Essex","Maidstone","","",6,"Blanks",
"","Bennington","Manchester","","",68,"Blanks",
"","Windham","Marlboro","","",13,"Blanks",
"","Washington","Marshfield","","",22,"Blanks",
"","Rutland","Mendon","","",9,"Blanks",
"","Addison","Middlebury","","",89,"Blanks",
"","Washington","Middlesex","","",17,"Blanks",
"","Rutland","Middletown Springs","","",9,"Blanks",
"","Chittenden","Milton","","",143,"Blanks",
"","Chittenden","Milton","","",12,"Blanks",
"","Addison","Monkton","","",28,"Blanks",
"","Franklin","Montgomery","","",12,"Blanks",
"","Washington","Montpelier","","",80,"Blanks",
"","Washington","Moretown","","",23,"Blanks",
"","Orleans","Morgan","","",5,"Blanks",
"","Lamoille","Morristown","","",48,"Blanks",
"","Rutland","Mount Holly","","",18,"Blanks",
"","Rutland","Mount Tabor","","",0,"Blanks",
"","Addison","New Haven","","",27,"Blanks",
"","Caledonia","Newark","","",6,"Blanks",
"","Orange","Newbury","","",22,"Blanks",
"","Windham","Newfane","","",24,"Blanks",
"","Orleans","Newport City","","",33,"Blanks",
"","Orleans","Newport Town","","",12,"Blanks",
"","Grand Isle","North Hero","","",10,"Blanks",
"","Washington","Northfield","","",49,"Blanks",
"","Essex","Norton","","",3,"Blanks",
"","Windsor","Norwich","","",33,"Blanks",
"","Orange","Orange","","",12,"Blanks",
"","Addison","Orwell","","",15,"Blanks",
"","Addison","Panton","","",5,"Blanks",
"","Rutland","Pawlet","","",22,"Blanks",
"","Caledonia","Peacham","","",1,"Blanks",
"","Bennington","Peru","","",5,"Blanks",
"","Rutland","Pittsfield","","",5,"Blanks",
"","Rutland","Pittsford","","",43,"Blanks",
"","Washington","Plainfield","","",12,"Blanks",
"","Windsor","Plymouth","","",10,"Blanks",
"","Windsor","Pomfret","","",3,"Blanks",
"","Rutland","Poultney","","",31,"Blanks",
"","Bennington","Pownal","","",50,"Blanks",
"","Rutland","Proctor","","",10,"Blanks",
"","Windham","Putney","","",30,"Blanks",
"","Orange","Randolph","","",34,"Blanks",
"","Windsor","Reading","","",11,"Blanks",
"","Bennington","Readsboro","","",0,"Blanks",
"","Franklin","Richford","","",13,"Blanks",
"","Chittenden","Richmond","","",37,"Blanks",
"","Addison","Ripton","","",9,"Blanks",
"","Windsor","Rochester","","",7,"Blanks",
"","Windham","Rockingham","","",52,"Blanks",
"","Washington","Roxbury","","",11,"Blanks",
"","Windsor","Royalton","","",26,"Blanks",
"","Bennington","Rupert","","",6,"Blanks",
"","Rutland","Rutland City","","",60,"Blanks",
"","Rutland","Rutland City","","",34,"Blanks",
"","Rutland","Rutland City","","",27,"Blanks",
"","Rutland","Rutland City","","",37,"Blanks",
"","Rutland","Rutland Town","","",35,"Blanks",
"","Caledonia","Ryegate","","",14,"Blanks",
"","Addison","Salisbury","","",5,"Blanks",
"","Bennington","Sandgate","","",2,"Blanks",
"","Bennington","Searsburg","","",4,"Blanks",
"","Bennington","Shaftsbury","","",39,"Blanks",
"","Windsor","Sharon","","",12,"Blanks",
"","Caledonia","Sheffield","","",6,"Blanks",
"","Chittenden","Shelburne","","",47,"Blanks",
"","Chittenden","Shelburne","","",35,"Blanks",
"","Franklin","Sheldon","","",19,"Blanks",
"","Addison","Shoreham","","",9,"Blanks",
"","Rutland","Shrewsbury","","",7,"Blanks",
"","Chittenden","South Burlington","","",28,"Blanks",
"","Chittenden","South Burlington","","",59,"Blanks",
"","Chittenden","South Burlington","","",62,"Blanks",
"","Chittenden","South Burlington","","",32,"Blanks",
"","Grand Isle","South Hero","","",23,"Blanks",
"","Windsor","Springfield","","",0,"Blanks",
"","Windsor","Springfield","","",87,"Blanks",
"",,"Saint  Albans City","","",37,"Blanks",
"",,"Saint  Albans Town","","",15,"Blanks",
"",,"Saint  Albans Town","","",28,"Blanks",
"",,"Saint  George","","",15,"Blanks",
"",,"Saint  Johnsbury","","",56,"Blanks",
"","Bennington","Stamford","","",25,"Blanks",
"","Caledonia","Stannard","","",5,"Blanks",
"","Addison","Starksboro","","",19,"Blanks",
"","Windsor","Stockbridge","","",12,"Blanks",
"","Lamoille","Stowe","","",42,"Blanks",
"","Orange","Strafford","","",11,"Blanks",
"","Windham","Stratton","","",1,"Blanks",
"","Rutland","Sudbury","","",6,"Blanks",
"","Bennington","Sunderland","","",4,"Blanks",
"","Bennington","Sunderland","","",10,"Blanks",
"","Caledonia","Sutton","","",0,"Blanks",
"","Franklin","Swanton","","",32,"Blanks",
"","Orange","Thetford","","",27,"Blanks",
"","Rutland","Tinmouth","","",1,"Blanks",
"","Rutland","Tinmouth","","",1,"Blanks",
"","Orange","Topsham","","",13,"Blanks",
"","Windham","Townshend","","",28,"Blanks",
"","Orleans","Troy","","",0,"Blanks",
"","Orleans","Troy","","",10,"Blanks",
"","Orange","Tunbridge","","",9,"Blanks",
"","Chittenden","Underhill","","",35,"Blanks",
"","Addison","Vergennes","","",20,"Blanks",
"","Windham","Vernon","","",32,"Blanks",
"","Orange","Vershire","","",8,"Blanks",
"","Essex","Victory","","",8,"Blanks",
"","Washington","Waitsfield","","",18,"Blanks",
"","Caledonia","Walden","","",15,"Blanks",
"","Rutland","Wallingford","","",24,"Blanks",
"","Addison","Waltham","","",3,"Blanks",
"","Windham","Wardsboro","","",14,"Blanks",
"","Washington","Warren","","",27,"Blanks",
"","Orange","Washington","","",7,"Blanks",
"","Washington","Waterbury","","",58,"Blanks",
"","Caledonia","Waterford","","",7,"Blanks",
"","Lamoille","Waterville","","",8,"Blanks",
"","Windsor","Weathersfield","","",34,"Blanks",
"","Rutland","Wells","","",5,"Blanks",
"","Orange","West Fairlee","","",7,"Blanks",
"","Rutland","West Haven","","",4,"Blanks",
"","Rutland","West Rutland","","",9,"Blanks",
"","Windsor","West Windsor","","",12,"Blanks",
"","Orleans","Westfield","","",8,"Blanks",
"","Chittenden","Westford","","",26,"Blanks",
"","Windham","Westminster","","",0,"Blanks",
"","Windham","Westminster","","",31,"Blanks",
"","Orleans","Westmore","","",6,"Blanks",
"","Windsor","Weston","","",8,"Blanks",
"","Addison","Weybridge","","",10,"Blanks",
"","Caledonia","Wheelock","","",8,"Blanks",
"","Addison","Whiting","","",7,"Blanks",
"","Windham","Whitingham","","",28,"Blanks",
"","Windham","Whitingham","","",0,"Blanks",
"","Orange","Williamstown","","",24,"Blanks",
"","Chittenden","Williston","","",103,"Blanks",
"","Windham","Wilmington","","",24,"Blanks",
"","Windham","Windham","","",9,"Blanks",
"","Windsor","Windsor","","",24,"Blanks",
"","Bennington","Winhall","","",16,"Blanks",
"","Chittenden","Winooski","","",96,"Blanks",
"","Lamoille","Wolcott","","",7,"Blanks",
"","Washington","Woodbury","","",5,"Blanks",
"","Bennington","Woodford","","",4,"Blanks",
"","Windsor","Woodstock","","",19,"Blanks",
"","Washington","Worcester","","",7,"Blanks",
"","Addison","Addison","Democratic/Republican","",640,"Jim Condos",
"","Orleans","Albany","Democratic/Republican","",372,"Jim Condos",
"","Grand Isle","Alburgh","Democratic/Republican","",718,"Jim Condos",
"","Windsor","Andover","Democratic/Republican","",255,"Jim Condos",
"","Bennington","Arlington","Democratic/Republican","",1008,"Jim Condos",
"","Windham","Athens","Democratic/Republican","",110,"Jim Condos",
"","Franklin","Bakersfield","Democratic/Republican","",480,"Jim Condos",
"","Windsor","Baltimore","Democratic/Republican","",104,"Jim Condos",
"","Windsor","Barnard","Democratic/Republican","",448,"Jim Condos",
"","Caledonia","Barnet","Democratic/Republican","",790,"Jim Condos",
"","Washington","Barre City","Democratic/Republican","",2732,"Jim Condos",
"","Washington","Barre Town","Democratic/Republican","",3660,"Jim Condos",
"","Orleans","Barton","Democratic/Republican","",866,"Jim Condos",
"","Lamoille","Belvidere","Democratic/Republican","",117,"Jim Condos",
"","Bennington","Bennington","Democratic/Republican","",2321,"Jim Condos",
"","Bennington","Bennington","Democratic/Republican","",2237,"Jim Condos",
"","Rutland","Benson","Democratic/Republican","",378,"Jim Condos",
"","Franklin","Berkshire","Democratic/Republican","",529,"Jim Condos",
"","Washington","Berlin","Democratic/Republican","",1158,"Jim Condos",
"","Windsor","Bethel","Democratic/Republican","",813,"Jim Condos",
"","Essex","Bloomfield","Democratic/Republican","",80,"Jim Condos",
"","Chittenden","Bolton","Democratic/Republican","",582,"Jim Condos",
"","Orange","Bradford","Democratic/Republican","",956,"Jim Condos",
"","Orange","Braintree","Democratic/Republican","",492,"Jim Condos",
"","Rutland","Brandon","Democratic/Republican","",1520,"Jim Condos",
"","Windham","Brattleboro","Democratic/Republican","",1546,"Jim Condos",
"","Windham","Brattleboro","Democratic/Republican","",1280,"Jim Condos",
"","Windham","Brattleboro","Democratic/Republican","",1351,"Jim Condos",
"","Windsor","Bridgewater","Democratic/Republican","",394,"Jim Condos",
"","Addison","Bridport","Democratic/Republican","",533,"Jim Condos",
"","Essex","Brighton","Democratic/Republican","",420,"Jim Condos",
"","Addison","Bristol","Democratic/Republican","",1584,"Jim Condos",
"","Orange","Brookfield","Democratic/Republican","",608,"Jim Condos",
"","Windham","Brookline","Democratic/Republican","",206,"Jim Condos",
"","Orleans","Brownington","Democratic/Republican","",305,"Jim Condos",
"","Essex","Brunswick","Democratic/Republican","",43,"Jim Condos",
"","Caledonia","Burke","Democratic/Republican","",673,"Jim Condos",
"","Chittenden","Burlington","Democratic/Republican","",3765,"Jim Condos",
"","Chittenden","Burlington","Democratic/Republican","",1859,"Jim Condos",
"","Chittenden","Burlington","Democratic/Republican","",2679,"Jim Condos",
"","Chittenden","Burlington","Democratic/Republican","",1850,"Jim Condos",
"","Chittenden","Burlington","Democratic/Republican","",4039,"Jim Condos",
"","Chittenden","Burlington","Democratic/Republican","",825,"Jim Condos",
"","Chittenden","Burlington","Democratic/Republican","",100,"Jim Condos",
"","Washington","Cabot","Democratic/Republican","",621,"Jim Condos",
"","Washington","Calais","Democratic/Republican","",846,"Jim Condos",
"","Lamoille","Cambridge","Democratic/Republican","",1632,"Jim Condos",
"","Essex","Canaan","Democratic/Republican","",311,"Jim Condos",
"","Rutland","Castleton","Democratic/Republican","",1381,"Jim Condos",
"","Windsor","Cavendish","Democratic/Republican","",489,"Jim Condos",
"","Orleans","Charleston","Democratic/Republican","",353,"Jim Condos",
"","Chittenden","Charlotte","Democratic/Republican","",2150,"Jim Condos",
"","Orange","Chelsea","Democratic/Republican","",524,"Jim Condos",
"","Windsor","Chester","Democratic/Republican","",1186,"Jim Condos",
"","Rutland","Chittenden","Democratic/Republican","",588,"Jim Condos",
"","Rutland","Clarendon","Democratic/Republican","",991,"Jim Condos",
"","Chittenden","Colchester","Democratic/Republican","",2851,"Jim Condos",
"","Chittenden","Colchester","Democratic/Republican","",3809,"Jim Condos",
"","Essex","Concord","Democratic/Republican","",438,"Jim Condos",
"","Orange","Corinth","Democratic/Republican","",518,"Jim Condos",
"","Addison","Cornwall","Democratic/Republican","",645,"Jim Condos",
"","Orleans","Coventry","Democratic/Republican","",410,"Jim Condos",
"","Orleans","Craftsbury","Democratic/Republican","",533,"Jim Condos",
"","Rutland","Danby","Democratic/Republican","",505,"Jim Condos",
"","Caledonia","Danville","Democratic/Republican","",1114,"Jim Condos",
"","Orleans","Derby","Democratic/Republican","",1776,"Jim Condos",
"","Bennington","Dorset","Democratic/Republican","",956,"Jim Condos",
"","Windham","Dover","Democratic/Republican","",573,"Jim Condos",
"","Windham","Dummerston","Democratic/Republican","",877,"Jim Condos",
"","Washington","Duxbury","Democratic/Republican","",665,"Jim Condos",
"","Essex","East Haven","Democratic/Republican","",99,"Jim Condos",
"","Washington","East Montpelier","Democratic/Republican","",1391,"Jim Condos",
"","Lamoille","Eden","Democratic/Republican","",434,"Jim Condos",
"","Lamoille","Elmore","Democratic/Republican","",454,"Jim Condos",
"","Franklin","Enosburgh","Democratic/Republican","",997,"Jim Condos",
"","Chittenden","Essex","Democratic/Republican","",4028,"Jim Condos",
"","Chittenden","Essex","Democratic/Republican","",4306,"Jim Condos",
"","Chittenden","Essex","Democratic/Republican","",1234,"Jim Condos",
"","Rutland","Fair Haven","Democratic/Republican","",911,"Jim Condos",
"","Franklin","Fairfax","Democratic/Republican","",1974,"Jim Condos",
"","Franklin","Fairfield","Democratic/Republican","",810,"Jim Condos",
"","Orange","Fairlee","Democratic/Republican","",456,"Jim Condos",
"","Washington","Fayston","Democratic/Republican","",692,"Jim Condos",
"","Addison","Ferrisburgh","Democratic/Republican","",1369,"Jim Condos",
"","Franklin","Fletcher","Democratic/Republican","",589,"Jim Condos",
"","Franklin","Franklin","Democratic/Republican","",525,"Jim Condos",
"","Franklin","Georgia","Democratic/Republican","",2052,"Jim Condos",
"","Orleans","Glover","Democratic/Republican","",478,"Jim Condos",
"","Addison","Goshen","Democratic/Republican","",96,"Jim Condos",
"","Windham","Grafton","Democratic/Republican","",281,"Jim Condos",
"","Essex","Granby","Democratic/Republican","",32,"Jim Condos",
"","Grand Isle","Grand Isle","Democratic/Republican","",1030,"Jim Condos",
"","Addison","Granville","Democratic/Republican","",120,"Jim Condos",
"","Orleans","Greensboro","Democratic/Republican","",356,"Jim Condos",
"","Caledonia","Groton","Democratic/Republican","",382,"Jim Condos",
"","Essex","Guildhall","Democratic/Republican","",118,"Jim Condos",
"","Windham","Guilford","Democratic/Republican","",852,"Jim Condos",
"","Windham","Halifax","Democratic/Republican","",289,"Jim Condos",
"","Addison","Hancock","Democratic/Republican","",120,"Jim Condos",
"","Caledonia","Hardwick","Democratic/Republican","",1131,"Jim Condos",
"","Windsor","Hartford","Democratic/Republican","",963,"Jim Condos",
"","Windsor","Hartford","Democratic/Republican","",3048,"Jim Condos",
"","Windsor","Hartland","Democratic/Republican","",1520,"Jim Condos",
"","Franklin","Highgate","Democratic/Republican","",1162,"Jim Condos",
"","Chittenden","Hinesburg","Democratic/Republican","",13,"Jim Condos",
"","Chittenden","Hinesburg","Democratic/Republican","",2211,"Jim Condos",
"","Orleans","Holland","Democratic/Republican","",232,"Jim Condos",
"","Rutland","Hubbardton","Democratic/Republican","",296,"Jim Condos",
"","Chittenden","Huntington","Democratic/Republican","",1041,"Jim Condos",
"","Lamoille","Hyde Park","Democratic/Republican","",1300,"Jim Condos",
"","Rutland","Ira","Democratic/Republican","",196,"Jim Condos",
"","Orleans","Irasburg","Democratic/Republican","",459,"Jim Condos",
"","Grand Isle","Isle La Motte","Democratic/Republican","",241,"Jim Condos",
"","Windham","Jamaica","Democratic/Republican","",393,"Jim Condos",
"","Orleans","Jay","Democratic/Republican","",193,"Jim Condos",
"","Chittenden","Jericho","Democratic/Republican","",2800,"Jim Condos",
"","Lamoille","Johnson","Democratic/Republican","",1044,"Jim Condos",
"","Rutland","Killington","Democratic/Republican","",503,"Jim Condos",
"","Caledonia","Kirby","Democratic/Republican","",230,"Jim Condos",
"","Bennington","Landgrove","Democratic/Republican","",90,"Jim Condos",
"","Addison","Leicester","Democratic/Republican","",397,"Jim Condos",
"","Essex","Lemington","Democratic/Republican","",44,"Jim Condos",
"","Addison","Lincoln","Democratic/Republican","",664,"Jim Condos",
"","Windham","Londonderry","Democratic/Republican","",720,"Jim Condos",
"","Orleans","Lowell","Democratic/Republican","",329,"Jim Condos",
"","Windsor","Ludlow","Democratic/Republican","",822,"Jim Condos",
"","Essex","Lunenburg","Democratic/Republican","",406,"Jim Condos",
"","Caledonia","Lyndon","Democratic/Republican","",1682,"Jim Condos",
"","Essex","Maidstone","Democratic/Republican","",92,"Jim Condos",
"","Bennington","Manchester","Democratic/Republican","",1839,"Jim Condos",
"","Windham","Marlboro","Democratic/Republican","",454,"Jim Condos",
"","Washington","Marshfield","Democratic/Republican","",681,"Jim Condos",
"","Rutland","Mendon","Democratic/Republican","",530,"Jim Condos",
"","Addison","Middlebury","Democratic/Republican","",3022,"Jim Condos",
"","Washington","Middlesex","Democratic/Republican","",934,"Jim Condos",
"","Rutland","Middletown Springs","Democratic/Republican","",374,"Jim Condos",
"","Chittenden","Milton","Democratic/Republican","",3546,"Jim Condos",
"","Chittenden","Milton","Democratic/Republican","",582,"Jim Condos",
"","Addison","Monkton","Democratic/Republican","",1011,"Jim Condos",
"","Franklin","Montgomery","Democratic/Republican","",517,"Jim Condos",
"","Washington","Montpelier","Democratic/Republican","",4107,"Jim Condos",
"","Washington","Moretown","Democratic/Republican","",872,"Jim Condos",
"","Orleans","Morgan","Democratic/Republican","",278,"Jim Condos",
"","Lamoille","Morristown","Democratic/Republican","",2252,"Jim Condos",
"","Rutland","Mount Holly","Democratic/Republican","",583,"Jim Condos",
"","Rutland","Mount Tabor","Democratic/Republican","",73,"Jim Condos",
"","Addison","New Haven","Democratic/Republican","",896,"Jim Condos",
"","Caledonia","Newark","Democratic/Republican","",217,"Jim Condos",
"","Orange","Newbury","Democratic/Republican","",855,"Jim Condos",
"","Windham","Newfane","Democratic/Republican","",750,"Jim Condos",
"","Orleans","Newport City","Democratic/Republican","",1280,"Jim Condos",
"","Orleans","Newport Town","Democratic/Republican","",560,"Jim Condos",
"","Grand Isle","North Hero","Democratic/Republican","",556,"Jim Condos",
"","Washington","Northfield","Democratic/Republican","",1809,"Jim Condos",
"","Essex","Norton","Democratic/Republican","",69,"Jim Condos",
"","Windsor","Norwich","Democratic/Republican","",1913,"Jim Condos",
"","Orange","Orange","Democratic/Republican","",446,"Jim Condos",
"","Addison","Orwell","Democratic/Republican","",536,"Jim Condos",
"","Addison","Panton","Democratic/Republican","",306,"Jim Condos",
"","Rutland","Pawlet","Democratic/Republican","",588,"Jim Condos",
"","Caledonia","Peacham","Democratic/Republican","",401,"Jim Condos",
"","Bennington","Peru","Democratic/Republican","",180,"Jim Condos",
"","Rutland","Pittsfield","Democratic/Republican","",232,"Jim Condos",
"","Rutland","Pittsford","Democratic/Republican","",1217,"Jim Condos",
"","Washington","Plainfield","Democratic/Republican","",549,"Jim Condos",
"","Windsor","Plymouth","Democratic/Republican","",263,"Jim Condos",
"","Windsor","Pomfret","Democratic/Republican","",505,"Jim Condos",
"","Rutland","Poultney","Democratic/Republican","",1112,"Jim Condos",
"","Bennington","Pownal","Democratic/Republican","",1177,"Jim Condos",
"","Rutland","Proctor","Democratic/Republican","",707,"Jim Condos",
"","Windham","Putney","Democratic/Republican","",882,"Jim Condos",
"","Orange","Randolph","Democratic/Republican","",1802,"Jim Condos",
"","Windsor","Reading","Democratic/Republican","",290,"Jim Condos",
"","Bennington","Readsboro","Democratic/Republican","",276,"Jim Condos",
"","Franklin","Richford","Democratic/Republican","",677,"Jim Condos",
"","Chittenden","Richmond","Democratic/Republican","",2145,"Jim Condos",
"","Addison","Ripton","Democratic/Republican","",277,"Jim Condos",
"","Windsor","Rochester","Democratic/Republican","",504,"Jim Condos",
"","Windham","Rockingham","Democratic/Republican","",1542,"Jim Condos",
"","Washington","Roxbury","Democratic/Republican","",300,"Jim Condos",
"","Windsor","Royalton","Democratic/Republican","",1017,"Jim Condos",
"","Bennington","Rupert","Democratic/Republican","",320,"Jim Condos",
"","Rutland","Rutland City","Democratic/Republican","",1746,"Jim Condos",
"","Rutland","Rutland City","Democratic/Republican","",1452,"Jim Condos",
"","Rutland","Rutland City","Democratic/Republican","",1004,"Jim Condos",
"","Rutland","Rutland City","Democratic/Republican","",1304,"Jim Condos",
"","Rutland","Rutland Town","Democratic/Republican","",1881,"Jim Condos",
"","Caledonia","Ryegate","Democratic/Republican","",472,"Jim Condos",
"","Addison","Salisbury","Democratic/Republican","",463,"Jim Condos",
"","Bennington","Sandgate","Democratic/Republican","",161,"Jim Condos",
"","Bennington","Searsburg","Democratic/Republican","",38,"Jim Condos",
"","Bennington","Shaftsbury","Democratic/Republican","",1413,"Jim Condos",
"","Windsor","Sharon","Democratic/Republican","",616,"Jim Condos",
"","Caledonia","Sheffield","Democratic/Republican","",217,"Jim Condos",
"","Chittenden","Shelburne","Democratic/Republican","",2227,"Jim Condos",
"","Chittenden","Shelburne","Democratic/Republican","",1860,"Jim Condos",
"","Franklin","Sheldon","Democratic/Republican","",699,"Jim Condos",
"","Addison","Shoreham","Democratic/Republican","",506,"Jim Condos",
"","Rutland","Shrewsbury","Democratic/Republican","",557,"Jim Condos",
"","Chittenden","South Burlington","Democratic/Republican","",2202,"Jim Condos",
"","Chittenden","South Burlington","Democratic/Republican","",2503,"Jim Condos",
"","Chittenden","South Burlington","Democratic/Republican","",2082,"Jim Condos",
"","Chittenden","South Burlington","Democratic/Republican","",1902,"Jim Condos",
"","Grand Isle","South Hero","Democratic/Republican","",968,"Jim Condos",
"","Windsor","Springfield","Democratic/Republican","",108,"Jim Condos",
"","Windsor","Springfield","Democratic/Republican","",2852,"Jim Condos",
"",,"Saint  Albans City","Democratic/Republican","",2145,"Jim Condos",
"",,"Saint  Albans Town","Democratic/Republican","",864,"Jim Condos",
"",,"Saint  Albans Town","Democratic/Republican","",1793,"Jim Condos",
"",,"Saint  George","Democratic/Republican","",310,"Jim Condos",
"",,"Saint  Johnsbury","Democratic/Republican","",2499,"Jim Condos",
"","Bennington","Stamford","Democratic/Republican","",337,"Jim Condos",
"","Caledonia","Stannard","Democratic/Republican","",76,"Jim Condos",
"","Addison","Starksboro","Democratic/Republican","",761,"Jim Condos",
"","Windsor","Stockbridge","Democratic/Republican","",340,"Jim Condos",
"","Lamoille","Stowe","Democratic/Republican","",2324,"Jim Condos",
"","Orange","Strafford","Democratic/Republican","",578,"Jim Condos",
"","Windham","Stratton","Democratic/Republican","",102,"Jim Condos",
"","Rutland","Sudbury","Democratic/Republican","",264,"Jim Condos",
"","Bennington","Sunderland","Democratic/Republican","",92,"Jim Condos",
"","Bennington","Sunderland","Democratic/Republican","",303,"Jim Condos",
"","Caledonia","Sutton","Democratic/Republican","",378,"Jim Condos",
"","Franklin","Swanton","Democratic/Republican","",2293,"Jim Condos",
"","Orange","Thetford","Democratic/Republican","",1328,"Jim Condos",
"","Rutland","Tinmouth","Democratic/Republican","",63,"Jim Condos",
"","Rutland","Tinmouth","Democratic/Republican","",176,"Jim Condos",
"","Orange","Topsham","Democratic/Republican","",461,"Jim Condos",
"","Windham","Townshend","Democratic/Republican","",490,"Jim Condos",
"","Orleans","Troy","Democratic/Republican","",144,"Jim Condos",
"","Orleans","Troy","Democratic/Republican","",379,"Jim Condos",
"","Orange","Tunbridge","Democratic/Republican","",583,"Jim Condos",
"","Chittenden","Underhill","Democratic/Republican","",1640,"Jim Condos",
"","Addison","Vergennes","Democratic/Republican","",1041,"Jim Condos",
"","Windham","Vernon","Democratic/Republican","",775,"Jim Condos",
"","Orange","Vershire","Democratic/Republican","",280,"Jim Condos",
"","Essex","Victory","Democratic/Republican","",42,"Jim Condos",
"","Washington","Waitsfield","Democratic/Republican","",921,"Jim Condos",
"","Caledonia","Walden","Democratic/Republican","",415,"Jim Condos",
"","Rutland","Wallingford","Democratic/Republican","",882,"Jim Condos",
"","Addison","Waltham","Democratic/Republican","",243,"Jim Condos",
"","Windham","Wardsboro","Democratic/Republican","",300,"Jim Condos",
"","Washington","Warren","Democratic/Republican","",865,"Jim Condos",
"","Orange","Washington","Democratic/Republican","",429,"Jim Condos",
"","Washington","Waterbury","Democratic/Republican","",2534,"Jim Condos",
"","Caledonia","Waterford","Democratic/Republican","",605,"Jim Condos",
"","Lamoille","Waterville","Democratic/Republican","",287,"Jim Condos",
"","Windsor","Weathersfield","Democratic/Republican","",1178,"Jim Condos",
"","Rutland","Wells","Democratic/Republican","",442,"Jim Condos",
"","Orange","West Fairlee","Democratic/Republican","",231,"Jim Condos",
"","Rutland","West Haven","Democratic/Republican","",116,"Jim Condos",
"","Rutland","West Rutland","Democratic/Republican","",834,"Jim Condos",
"","Windsor","West Windsor","Democratic/Republican","",564,"Jim Condos",
"","Orleans","Westfield","Democratic/Republican","",243,"Jim Condos",
"","Chittenden","Westford","Democratic/Republican","",1022,"Jim Condos",
"","Windham","Westminster","Democratic/Republican","",57,"Jim Condos",
"","Windham","Westminster","Democratic/Republican","",1032,"Jim Condos",
"","Orleans","Westmore","Democratic/Republican","",175,"Jim Condos",
"","Windsor","Weston","Democratic/Republican","",335,"Jim Condos",
"","Addison","Weybridge","Democratic/Republican","",486,"Jim Condos",
"","Caledonia","Wheelock","Democratic/Republican","",302,"Jim Condos",
"","Addison","Whiting","Democratic/Republican","",157,"Jim Condos",
"","Windham","Whitingham","Democratic/Republican","",432,"Jim Condos",
"","Windham","Whitingham","Democratic/Republican","",24,"Jim Condos",
"","Orange","Williamstown","Democratic/Republican","",1291,"Jim Condos",
"","Chittenden","Williston","Democratic/Republican","",4737,"Jim Condos",
"","Windham","Wilmington","Democratic/Republican","",736,"Jim Condos",
"","Windham","Windham","Democratic/Republican","",202,"Jim Condos",
"","Windsor","Windsor","Democratic/Republican","",1302,"Jim Condos",
"","Bennington","Winhall","Democratic/Republican","",396,"Jim Condos",
"","Chittenden","Winooski","Democratic/Republican","",2424,"Jim Condos",
"","Lamoille","Wolcott","Democratic/Republican","",655,"Jim Condos",
"","Washington","Woodbury","Democratic/Republican","",437,"Jim Condos",
"","Bennington","Woodford","Democratic/Republican","",129,"Jim Condos",
"","Windsor","Woodstock","Democratic/Republican","",1509,"Jim Condos",
"","Washington","Worcester","Democratic/Republican","",502,"Jim Condos",
"","Addison","Addison",,"",65,"Mary Alice Mal Herbert",
"","Orleans","Albany",,"",51,"Mary Alice Mal Herbert",
"","Grand Isle","Alburgh",,"",100,"Mary Alice Mal Herbert",
"","Windsor","Andover",,"",44,"Mary Alice Mal Herbert",
"","Bennington","Arlington",,"",148,"Mary Alice Mal Herbert",
"","Windham","Athens",,"",41,"Mary Alice Mal Herbert",
"","Franklin","Bakersfield",,"",56,"Mary Alice Mal Herbert",
"","Windsor","Baltimore",,"",18,"Mary Alice Mal Herbert",
"","Windsor","Barnard",,"",43,"Mary Alice Mal Herbert",
"","Caledonia","Barnet",,"",80,"Mary Alice Mal Herbert",
"","Washington","Barre City",,"",291,"Mary Alice Mal Herbert",
"","Washington","Barre Town",,"",269,"Mary Alice Mal Herbert",
"","Orleans","Barton",,"",110,"Mary Alice Mal Herbert",
"","Lamoille","Belvidere",,"",20,"Mary Alice Mal Herbert",
"","Bennington","Bennington",,"",373,"Mary Alice Mal Herbert",
"","Bennington","Bennington",,"",393,"Mary Alice Mal Herbert",
"","Rutland","Benson",,"",80,"Mary Alice Mal Herbert",
"","Franklin","Berkshire",,"",46,"Mary Alice Mal Herbert",
