election_value,title,year,election_type,district,party,office
78096,2002 State Representative Republican Primary Rutland-Windsor 1 District,2002,Primary,Rutland-Windsor 1,Republican,State Representative
78097,2002 State Representative Republican Primary Rutland 1-2 District,2002,Primary,Rutland 1-2,Republican,State Representative
78098,2002 State Representative Republican Primary Rutland 1-1 District,2002,Primary,Rutland 1-1,Republican,State Representative
78099,2002 State Representative Republican Primary Rutland 8 District,2002,Primary,Rutland 8,Republican,State Representative
78100,2002 State Representative Republican Primary Windsor-Rutland 1 District,2002,Primary,Windsor-Rutland 1,Republican,State Representative
78101,2002 State Representative Republican Primary Windsor-Rutland 2 District,2002,Primary,Windsor-Rutland 2,Republican,State Representative
78102,2002 State Representative Republican Primary Rutland 6 District,2002,Primary,Rutland 6,Republican,State Representative
78103,2002 State Representative Republican Primary Rutland 5-1 District,2002,Primary,Rutland 5-1,Republican,State Representative
78104,2002 State Representative Republican Primary Rutland 5-2 District,2002,Primary,Rutland 5-2,Republican,State Representative
78105,2002 State Representative Republican Primary Rutland 5-3 District,2002,Primary,Rutland 5-3,Republican,State Representative
78106,2002 State Representative Republican Primary Rutland 5-4 District,2002,Primary,Rutland 5-4,Republican,State Representative
78107,2002 State Representative Republican Primary Rutland 4 District,2002,Primary,Rutland 4,Republican,State Representative
78108,2002 State Representative Republican Primary Rutland 3 District,2002,Primary,Rutland 3,Republican,State Representative
78109,2002 State Representative Republican Primary Washington 3-1 District,2002,Primary,Washington 3-1,Republican,State Representative
78110,2002 State Representative Republican Primary Washington 3-2 District,2002,Primary,Washington 3-2,Republican,State Representative
78111,2002 State Representative Republican Primary Washington 3-3 District,2002,Primary,Washington 3-3,Republican,State Representative
78112,2002 State Representative Republican Primary Washington 4 District,2002,Primary,Washington 4,Republican,State Representative
78113,2002 State Representative Republican Primary Washington 6 District,2002,Primary,Washington 6,Republican,State Representative
78114,2002 State Representative Republican Primary Washington 7 District,2002,Primary,Washington 7,Republican,State Representative
78115,2002 State Representative Republican Primary Washington 1 District,2002,Primary,Washington 1,Republican,State Representative
78116,2002 State Representative Republican Primary Washington 5 District,2002,Primary,Washington 5,Republican,State Representative
78117,2002 State Representative Republican Primary Washington 2 District,2002,Primary,Washington 2,Republican,State Representative
78118,2002 State Representative Republican Primary Windham 4 District,2002,Primary,Windham 4,Republican,State Representative
78119,2002 State Representative Republican Primary Windham 3-1 District,2002,Primary,Windham 3-1,Republican,State Representative
78120,2002 State Representative Republican Primary Windham 3-2 District,2002,Primary,Windham 3-2,Republican,State Representative
78121,2002 State Representative Republican Primary Windham 3-3 District,2002,Primary,Windham 3-3,Republican,State Representative
78122,2002 State Representative Republican Primary Windham 5 District,2002,Primary,Windham 5,Republican,State Representative
78123,2002 State Representative Republican Primary Windham 1 District,2002,Primary,Windham 1,Republican,State Representative
78124,2002 State Representative Republican Primary Windham 2 District,2002,Primary,Windham 2,Republican,State Representative
78125,2002 State Representative Republican Primary Windham 6 District,2002,Primary,Windham 6,Republican,State Representative
78126,2002 State Representative Republican Primary Windsor 1-1 District,2002,Primary,Windsor 1-1,Republican,State Representative
78127,2002 State Representative Republican Primary Windsor 6-1 District,2002,Primary,Windsor 6-1,Republican,State Representative
78128,2002 State Representative Republican Primary Windsor 2 District,2002,Primary,Windsor 2,Republican,State Representative
78129,2002 State Representative Republican Primary Windsor 6-2 District,2002,Primary,Windsor 6-2,Republican,State Representative
78130,2002 State Representative Republican Primary Windsor 4 District,2002,Primary,Windsor 4,Republican,State Representative
78131,2002 State Representative Republican Primary Windsor 5 District,2002,Primary,Windsor 5,Republican,State Representative
78132,2002 State Representative Republican Primary Windsor 1-2 District,2002,Primary,Windsor 1-2,Republican,State Representative
78133,2002 State Representative Republican Primary Windsor 3 District,2002,Primary,Windsor 3,Republican,State Representative
78134,2002 State Representative Progressive Primary Addison 3 District,2002,Primary,Addison 3,Progressive,State Representative
78135,2002 State Representative Progressive Primary Addison 5 District,2002,Primary,Addison 5,Progressive,State Representative
78136,2002 State Representative Progressive Primary Addison 4 District,2002,Primary,Addison 4,Progressive,State Representative
78137,2002 State Representative Progressive Primary Addison 2 District,2002,Primary,Addison 2,Progressive,State Representative
78138,2002 State Representative Progressive Primary Orange-Addison 1 District,2002,Primary,Orange-Addison 1,Progressive,State Representative
78139,2002 State Representative Progressive Primary Addison 1 District,2002,Primary,Addison 1,Progressive,State Representative
78140,2002 State Representative Progressive Primary Addison-Rutland 1 District,2002,Primary,Addison-Rutland 1,Progressive,State Representative
78141,2002 State Representative Progressive Primary Bennington 5 District,2002,Primary,Bennington 5,Progressive,State Representative
78142,2002 State Representative Progressive Primary Bennington 2-1 District,2002,Primary,Bennington 2-1,Progressive,State Representative
78143,2002 State Representative Progressive Primary Bennington 2-2 District,2002,Primary,Bennington 2-2,Progressive,State Representative
78144,2002 State Representative Progressive Primary Bennington-Rutland 1 District,2002,Primary,Bennington-Rutland 1,Progressive,State Representative
78145,2002 State Representative Progressive Primary Bennington 4 District,2002,Primary,Bennington 4,Progressive,State Representative
78146,2002 State Representative Progressive Primary Bennington 1 District,2002,Primary,Bennington 1,Progressive,State Representative
78147,2002 State Representative Progressive Primary Windham-Bennington 1 District,2002,Primary,Windham-Bennington 1,Progressive,State Representative
78148,2002 State Representative Progressive Primary Bennington 3 District,2002,Primary,Bennington 3,Progressive,State Representative
78149,2002 State Representative Progressive Primary Windham-Bennington-Windsor 1 District,2002,Primary,Windham-Bennington-Windsor 1,Progressive,State Representative
78150,2002 State Representative Progressive Primary Caledonia 1 District,2002,Primary,Caledonia 1,Progressive,State Representative
78151,2002 State Representative Progressive Primary Caledonia 4 District,2002,Primary,Caledonia 4,Progressive,State Representative
78152,2002 State Representative Progressive Primary Caledonia-Washington 1 District,2002,Primary,Caledonia-Washington 1,Progressive,State Representative
78153,2002 State Representative Progressive Primary Orange-Caledonia 1 District,2002,Primary,Orange-Caledonia 1,Progressive,State Representative
78154,2002 State Representative Progressive Primary Caledonia 2 District,2002,Primary,Caledonia 2,Progressive,State Representative
78155,2002 State Representative Progressive Primary Essex-Caledonia District,2002,Primary,Essex-Caledonia,Progressive,State Representative
78156,2002 State Representative Progressive Primary Essex-Caledonia-Orleans District,2002,Primary,Essex-Caledonia-Orleans,Progressive,State Representative
78157,2002 State Representative Progressive Primary Orleans-Caledonia 1 District,2002,Primary,Orleans-Caledonia 1,Progressive,State Representative
78158,2002 State Representative Progressive Primary Caledonia 3 District,2002,Primary,Caledonia 3,Progressive,State Representative
78159,2002 State Representative Progressive Primary Chittenden 8 District,2002,Primary,Chittenden 8,Progressive,State Representative
78160,2002 State Representative Progressive Primary Chittenden 3-4 District,2002,Primary,Chittenden 3-4,Progressive,State Representative
78161,2002 State Representative Progressive Primary Chittenden 3-6 District,2002,Primary,Chittenden 3-6,Progressive,State Representative
78162,2002 State Representative Progressive Primary Chittenden 3-2 District,2002,Primary,Chittenden 3-2,Progressive,State Representative
78163,2002 State Representative Progressive Primary Chittenden 3-3 District,2002,Primary,Chittenden 3-3,Progressive,State Representative
78164,2002 State Representative Progressive Primary Chittenden 3-1 District,2002,Primary,Chittenden 3-1,Progressive,State Representative
78165,2002 State Representative Progressive Primary Chittenden 3-5 District,2002,Primary,Chittenden 3-5,Progressive,State Representative
78166,2002 State Representative Progressive Primary Chittenden 1-2 District,2002,Primary,Chittenden 1-2,Progressive,State Representative
78167,2002 State Representative Progressive Primary Chittenden 7-1 District,2002,Primary,Chittenden 7-1,Progressive,State Representative
78168,2002 State Representative Progressive Primary Chittenden 7-2 District,2002,Primary,Chittenden 7-2,Progressive,State Representative
78169,2002 State Representative Progressive Primary Chittenden 6-1 District,2002,Primary,Chittenden 6-1,Progressive,State Representative
78170,2002 State Representative Progressive Primary Chittenden 6-2 District,2002,Primary,Chittenden 6-2,Progressive,State Representative
78171,2002 State Representative Progressive Primary Chittenden 6-3 District,2002,Primary,Chittenden 6-3,Progressive,State Representative
78172,2002 State Representative Progressive Primary Chittenden 1-1 District,2002,Primary,Chittenden 1-1,Progressive,State Representative
78173,2002 State Representative Progressive Primary Washington-Chittenden 1 District,2002,Primary,Washington-Chittenden 1,Progressive,State Representative
78174,2002 State Representative Progressive Primary Chittenden 9 District,2002,Primary,Chittenden 9,Progressive,State Representative
78175,2002 State Representative Progressive Primary Grand Isle-Chittenden 1 District,2002,Primary,Grand Isle-Chittenden 1,Progressive,State Representative
78176,2002 State Representative Progressive Primary Chittenden 4 District,2002,Primary,Chittenden 4,Progressive,State Representative
78177,2002 State Representative Progressive Primary Chittenden 5-1 District,2002,Primary,Chittenden 5-1,Progressive,State Representative
78178,2002 State Representative Progressive Primary Chittenden 5-2 District,2002,Primary,Chittenden 5-2,Progressive,State Representative
78179,2002 State Representative Progressive Primary Chittenden 3-7 District,2002,Primary,Chittenden 3-7,Progressive,State Representative
78180,2002 State Representative Progressive Primary Chittenden 3-8 District,2002,Primary,Chittenden 3-8,Progressive,State Representative
78181,2002 State Representative Progressive Primary Chittenden 3-9 District,2002,Primary,Chittenden 3-9,Progressive,State Representative
78182,2002 State Representative Progressive Primary Chittenden 3-10 District,2002,Primary,Chittenden 3-10,Progressive,State Representative
78183,2002 State Representative Progressive Primary Chittenden 2 District,2002,Primary,Chittenden 2,Progressive,State Representative
78184,2002 State Representative Progressive Primary Franklin 4 District,2002,Primary,Franklin 4,Progressive,State Representative
78185,2002 State Representative Progressive Primary Franklin 6 District,2002,Primary,Franklin 6,Progressive,State Representative
78186,2002 State Representative Progressive Primary Franklin 1 District,2002,Primary,Franklin 1,Progressive,State Representative
78187,2002 State Representative Progressive Primary Franklin 2 District,2002,Primary,Franklin 2,Progressive,State Representative
78188,2002 State Representative Progressive Primary Orleans-Franklin 1 District,2002,Primary,Orleans-Franklin 1,Progressive,State Representative
78189,2002 State Representative Progressive Primary Franklin 5 District,2002,Primary,Franklin 5,Progressive,State Representative
78190,2002 State Representative Progressive Primary Franklin 3 District,2002,Primary,Franklin 3,Progressive,State Representative
78191,2002 State Representative Progressive Primary Lamoille 4 District,2002,Primary,Lamoille 4,Progressive,State Representative
78192,2002 State Representative Progressive Primary Lamoille 3 District,2002,Primary,Lamoille 3,Progressive,State Representative
78193,2002 State Representative Progressive Primary Lamoille-Washington 1 District,2002,Primary,Lamoille-Washington 1,Progressive,State Representative
78194,2002 State Representative Progressive Primary Lamoille 2 District,2002,Primary,Lamoille 2,Progressive,State Representative
78195,2002 State Representative Progressive Primary Lamoille 1 District,2002,Primary,Lamoille 1,Progressive,State Representative
78196,2002 State Representative Progressive Primary Orange 2 District,2002,Primary,Orange 2,Progressive,State Representative
78197,2002 State Representative Progressive Primary Orange 1 District,2002,Primary,Orange 1,Progressive,State Representative
78198,2002 State Representative Progressive Primary Windsor-Orange 2 District,2002,Primary,Windsor-Orange 2,Progressive,State Representative
78199,2002 State Representative Progressive Primary Windsor-Orange 1 District,2002,Primary,Windsor-Orange 1,Progressive,State Representative
78200,2002 State Representative Progressive Primary Orleans 1 District,2002,Primary,Orleans 1,Progressive,State Representative
78201,2002 State Representative Progressive Primary Orleans 2 District,2002,Primary,Orleans 2,Progressive,State Representative
78202,2002 State Representative Progressive Primary Rutland 7 District,2002,Primary,Rutland 7,Progressive,State Representative
78203,2002 State Representative Progressive Primary Rutland 2 District,2002,Primary,Rutland 2,Progressive,State Representative
78204,2002 State Representative Progressive Primary Rutland-Windsor 1 District,2002,Primary,Rutland-Windsor 1,Progressive,State Representative
78205,2002 State Representative Progressive Primary Rutland 1-2 District,2002,Primary,Rutland 1-2,Progressive,State Representative
78206,2002 State Representative Progressive Primary Rutland 1-1 District,2002,Primary,Rutland 1-1,Progressive,State Representative
78207,2002 State Representative Progressive Primary Rutland 8 District,2002,Primary,Rutland 8,Progressive,State Representative
78208,2002 State Representative Progressive Primary Windsor-Rutland 1 District,2002,Primary,Windsor-Rutland 1,Progressive,State Representative
78209,2002 State Representative Progressive Primary Windsor-Rutland 2 District,2002,Primary,Windsor-Rutland 2,Progressive,State Representative
78210,2002 State Representative Progressive Primary Rutland 6 District,2002,Primary,Rutland 6,Progressive,State Representative
78211,2002 State Representative Progressive Primary Rutland 5-1 District,2002,Primary,Rutland 5-1,Progressive,State Representative
78212,2002 State Representative Progressive Primary Rutland 5-2 District,2002,Primary,Rutland 5-2,Progressive,State Representative
78213,2002 State Representative Progressive Primary Rutland 5-3 District,2002,Primary,Rutland 5-3,Progressive,State Representative
78214,2002 State Representative Progressive Primary Rutland 5-4 District,2002,Primary,Rutland 5-4,Progressive,State Representative
78215,2002 State Representative Progressive Primary Rutland 4 District,2002,Primary,Rutland 4,Progressive,State Representative
78216,2002 State Representative Progressive Primary Rutland 3 District,2002,Primary,Rutland 3,Progressive,State Representative
78217,2002 State Representative Progressive Primary Washington 3-1 District,2002,Primary,Washington 3-1,Progressive,State Representative
78218,2002 State Representative Progressive Primary Washington 3-2 District,2002,Primary,Washington 3-2,Progressive,State Representative
78219,2002 State Representative Progressive Primary Washington 3-3 District,2002,Primary,Washington 3-3,Progressive,State Representative
78220,2002 State Representative Progressive Primary Washington 4 District,2002,Primary,Washington 4,Progressive,State Representative
78221,2002 State Representative Progressive Primary Washington 6 District,2002,Primary,Washington 6,Progressive,State Representative
78222,2002 State Representative Progressive Primary Washington 7 District,2002,Primary,Washington 7,Progressive,State Representative
78223,2002 State Representative Progressive Primary Washington 1 District,2002,Primary,Washington 1,Progressive,State Representative
78224,2002 State Representative Progressive Primary Washington 5 District,2002,Primary,Washington 5,Progressive,State Representative
78225,2002 State Representative Progressive Primary Washington 2 District,2002,Primary,Washington 2,Progressive,State Representative
78226,2002 State Representative Progressive Primary Windham 4 District,2002,Primary,Windham 4,Progressive,State Representative
78227,2002 State Representative Progressive Primary Windham 3-1 District,2002,Primary,Windham 3-1,Progressive,State Representative
78228,2002 State Representative Progressive Primary Windham 3-2 District,2002,Primary,Windham 3-2,Progressive,State Representative
78229,2002 State Representative Progressive Primary Windham 3-3 District,2002,Primary,Windham 3-3,Progressive,State Representative
78230,2002 State Representative Progressive Primary Windham 5 District,2002,Primary,Windham 5,Progressive,State Representative
78231,2002 State Representative Progressive Primary Windham 1 District,2002,Primary,Windham 1,Progressive,State Representative
78232,2002 State Representative Progressive Primary Windham 2 District,2002,Primary,Windham 2,Progressive,State Representative
78233,2002 State Representative Progressive Primary Windham 6 District,2002,Primary,Windham 6,Progressive,State Representative
78234,2002 State Representative Progressive Primary Windsor 1-1 District,2002,Primary,Windsor 1-1,Progressive,State Representative
78235,2002 State Representative Progressive Primary Windsor 6-1 District,2002,Primary,Windsor 6-1,Progressive,State Representative
78236,2002 State Representative Progressive Primary Windsor 2 District,2002,Primary,Windsor 2,Progressive,State Representative
78237,2002 State Representative Progressive Primary Windsor 6-2 District,2002,Primary,Windsor 6-2,Progressive,State Representative
78238,2002 State Representative Progressive Primary Windsor 4 District,2002,Primary,Windsor 4,Progressive,State Representative
78239,2002 State Representative Progressive Primary Windsor 5 District,2002,Primary,Windsor 5,Progressive,State Representative
78240,2002 State Representative Progressive Primary Windsor 1-2 District,2002,Primary,Windsor 1-2,Progressive,State Representative
78241,2002 State Representative Progressive Primary Windsor 3 District,2002,Primary,Windsor 3,Progressive,State Representative
78242,1992 State Representative General Election Addison 1 District,1992,General,Addison 1,NA,State Representative
78243,1992 State Representative General Election Addison 2 District,1992,General,Addison 2,NA,State Representative
78244,1992 State Representative General Election Addison 3 District,1992,General,Addison 3,NA,State Representative
78245,1992 State Representative General Election Addison 4-1 District,1992,General,Addison 4-1,NA,State Representative
78246,1992 State Representative General Election Addison 4-2 District,1992,General,Addison 4-2,NA,State Representative
78247,1992 State Representative General Election Addison-Rutland 1 District,1992,General,Addison-Rutland 1,NA,State Representative
78248,1992 State Representative General Election Addison-Rutland 2 District,1992,General,Addison-Rutland 2,NA,State Representative
78249,1992 State Representative General Election Bennington 1 District,1992,General,Bennington 1,NA,State Representative
78250,1992 State Representative General Election Bennington 2-1 District,1992,General,Bennington 2-1,NA,State Representative
78251,1992 State Representative General Election Bennington 2-2 District,1992,General,Bennington 2-2,NA,State Representative
78252,1992 State Representative General Election Bennington 2-3 District,1992,General,Bennington 2-3,NA,State Representative
78253,1992 State Representative General Election Bennington 2-4 District,1992,General,Bennington 2-4,NA,State Representative
78254,1992 State Representative General Election Bennington 3 District,1992,General,Bennington 3,NA,State Representative
78255,1992 State Representative General Election Bennington 4 District,1992,General,Bennington 4,NA,State Representative
78256,1992 State Representative General Election Bennington-Rutland 1 District,1992,General,Bennington-Rutland 1,NA,State Representative
78257,1992 State Representative General Election Caledonia 1 District,1992,General,Caledonia 1,NA,State Representative
78258,1992 State Representative General Election Caledonia 2 District,1992,General,Caledonia 2,NA,State Representative
78259,1992 State Representative General Election Caledonia 3 District,1992,General,Caledonia 3,NA,State Representative
78260,1992 State Representative General Election Caledonia 4 District,1992,General,Caledonia 4,NA,State Representative
78261,1992 State Representative General Election Caledonia-Washington 1 District,1992,General,Caledonia-Washington 1,NA,State Representative
78262,1992 State Representative General Election Chittenden 1-1 District,1992,General,Chittenden 1-1,NA,State Representative
78263,1992 State Representative General Election Chittenden 1-2 District,1992,General,Chittenden 1-2,NA,State Representative
78264,1992 State Representative General Election Chittenden 1-3 District,1992,General,Chittenden 1-3,NA,State Representative
78265,1992 State Representative General Election Chittenden 2-1 District,1992,General,Chittenden 2-1,NA,State Representative
78266,1992 State Representative General Election Chittenden 2-2 District,1992,General,Chittenden 2-2,NA,State Representative
78267,1992 State Representative General Election Chittenden 2-3 District,1992,General,Chittenden 2-3,NA,State Representative
78268,1992 State Representative General Election Chittenden 2-4 District,1992,General,Chittenden 2-4,NA,State Representative
78269,1992 State Representative General Election Chittenden 3 District,1992,General,Chittenden 3,NA,State Representative
78270,1992 State Representative General Election Chittenden 4 District,1992,General,Chittenden 4,NA,State Representative
78271,1992 State Representative General Election Chittenden 5-1 District,1992,General,Chittenden 5-1,NA,State Representative
78272,1992 State Representative General Election Chittenden 5-2 District,1992,General,Chittenden 5-2,NA,State Representative
78273,1992 State Representative General Election Chittenden 5-3 District,1992,General,Chittenden 5-3,NA,State Representative
78274,1992 State Representative General Election Chittenden 5-4 District,1992,General,Chittenden 5-4,NA,State Representative
78275,1992 State Representative General Election Chittenden 6 District,1992,General,Chittenden 6,NA,State Representative
78276,1992 State Representative General Election Chittenden 7-1 District,1992,General,Chittenden 7-1,NA,State Representative
78277,1992 State Representative General Election Chittenden 7-2 District,1992,General,Chittenden 7-2,NA,State Representative
78278,1992 State Representative General Election Chittenden 7-3 District,1992,General,Chittenden 7-3,NA,State Representative
78279,1992 State Representative General Election Chittenden 7-4 District,1992,General,Chittenden 7-4,NA,State Representative
78280,1992 State Representative General Election Chittenden 7-5 District,1992,General,Chittenden 7-5,NA,State Representative
78281,1992 State Representative General Election Chittenden 7-6 District,1992,General,Chittenden 7-6,NA,State Representative
78282,1992 State Representative General Election Chittenden 7-7 District,1992,General,Chittenden 7-7,NA,State Representative
78283,1992 State Representative General Election Chittenden 7-8 District,1992,General,Chittenden 7-8,NA,State Representative
78284,1992 State Representative General Election Chittenden 7-9 District,1992,General,Chittenden 7-9,NA,State Representative
78285,1992 State Representative General Election Chittenden 7-10 District,1992,General,Chittenden 7-10,NA,State Representative
78286,1992 State Representative General Election Essex-Caledonia 1 District,1992,General,Essex-Caledonia 1,NA,State Representative
78287,1992 State Representative General Election Essex-Caledonia 2 District,1992,General,Essex-Caledonia 2,NA,State Representative
78288,1992 State Representative General Election Franklin 1 District,1992,General,Franklin 1,NA,State Representative
78289,1992 State Representative General Election Franklin 2 District,1992,General,Franklin 2,NA,State Representative
78290,1992 State Representative General Election Franklin 3-1 District,1992,General,Franklin 3-1,NA,State Representative
78291,1992 State Representative General Election Franklin 3-2 District,1992,General,Franklin 3-2,NA,State Representative
78292,1992 State Representative General Election Franklin 4 District,1992,General,Franklin 4,NA,State Representative
78293,1992 State Representative General Election Franklin 5-1 District,1992,General,Franklin 5-1,NA,State Representative
78294,1992 State Representative General Election Franklin 5-2 District,1992,General,Franklin 5-2,NA,State Representative
78295,1992 State Representative General Election Franklin-Grand Isle 1 District,1992,General,Franklin-Grand Isle 1,NA,State Representative
78296,1992 State Representative General Election Grand Isle 1 District,1992,General,Grand Isle 1,NA,State Representative
78297,1992 State Representative General Election Lamoille 1 District,1992,General,Lamoille 1,NA,State Representative
78298,1992 State Representative General Election Lamoille 2-1 District,1992,General,Lamoille 2-1,NA,State Representative
78299,1992 State Representative General Election Lamoille 2-2 District,1992,General,Lamoille 2-2,NA,State Representative
78300,1992 State Representative General Election Lamoille 3 District,1992,General,Lamoille 3,NA,State Representative
78301,1992 State Representative General Election Orange 1 District,1992,General,Orange 1,NA,State Representative
78302,1992 State Representative General Election Orange 2 District,1992,General,Orange 2,NA,State Representative
78303,1992 State Representative General Election Orange 3 District,1992,General,Orange 3,NA,State Representative
78304,1992 State Representative General Election Orange 4 District,1992,General,Orange 4,NA,State Representative
78305,1992 State Representative General Election Orange-Caledonia 1 District,1992,General,Orange-Caledonia 1,NA,State Representative
78306,1992 State Representative General Election Orleans 1 District,1992,General,Orleans 1,NA,State Representative
78307,1992 State Representative General Election Orleans 2 District,1992,General,Orleans 2,NA,State Representative
78308,1992 State Representative General Election Orleans-Caledonia 1 District,1992,General,Orleans-Caledonia 1,NA,State Representative
78309,1992 State Representative General Election Orleans-Franklin 1 District,1992,General,Orleans-Franklin 1,NA,State Representative
78310,1992 State Representative General Election Rutland 1 District,1992,General,Rutland 1,NA,State Representative
78311,1992 State Representative General Election Rutland 2 District,1992,General,Rutland 2,NA,State Representative
78312,1992 State Representative General Election Rutland 3 District,1992,General,Rutland 3,NA,State Representative
78313,1992 State Representative General Election Rutland 4 District,1992,General,Rutland 4,NA,State Representative
78314,1992 State Representative General Election Rutland 5 District,1992,General,Rutland 5,NA,State Representative
78315,1992 State Representative General Election Rutland 6-1 District,1992,General,Rutland 6-1,NA,State Representative
78316,1992 State Representative General Election Rutland 6-2 District,1992,General,Rutland 6-2,NA,State Representative
78317,1992 State Representative General Election Rutland 6-3 District,1992,General,Rutland 6-3,NA,State Representative
78318,1992 State Representative General Election Rutland 6-4 District,1992,General,Rutland 6-4,NA,State Representative
78319,1992 State Representative General Election Rutland 7 District,1992,General,Rutland 7,NA,State Representative
78320,1992 State Representative General Election Rutland-Bennington 1 District,1992,General,Rutland-Bennington 1,NA,State Representative
78321,1992 State Representative General Election Rutland-Windsor 1 District,1992,General,Rutland-Windsor 1,NA,State Representative
78322,1992 State Representative General Election Washington 1 District,1992,General,Washington 1,NA,State Representative
78323,1992 State Representative General Election Washington 2 District,1992,General,Washington 2,NA,State Representative
78324,1992 State Representative General Election Washington 3 District,1992,General,Washington 3,NA,State Representative
78325,1992 State Representative General Election Washington 4-1 District,1992,General,Washington 4-1,NA,State Representative
78326,1992 State Representative General Election Washington 4-2 District,1992,General,Washington 4-2,NA,State Representative
78327,1992 State Representative General Election Washington 5 District,1992,General,Washington 5,NA,State Representative
78328,1992 State Representative General Election Washington-Addison 1 District,1992,General,Washington-Addison 1,NA,State Representative
78329,1992 State Representative General Election Washington-Chittenden 1 District,1992,General,Washington-Chittenden 1,NA,State Representative
78330,1992 State Representative General Election Washington-Lamoille 1-1 District,1992,General,Washington-Lamoille 1-1,NA,State Representative
78331,1992 State Representative General Election Windham 1 District,1992,General,Windham 1,NA,State Representative
78332,1992 State Representative General Election Windham 2-1 District,1992,General,Windham 2-1,NA,State Representative
78333,1992 State Representative General Election Windham 2-2 District,1992,General,Windham 2-2,NA,State Representative
78334,1992 State Representative General Election Windham 2-3 District,1992,General,Windham 2-3,NA,State Representative
78335,1992 State Representative General Election Windham 3 District,1992,General,Windham 3,NA,State Representative
78336,1992 State Representative General Election Windham 4 District,1992,General,Windham 4,NA,State Representative
78337,1992 State Representative General Election Windham 5 District,1992,General,Windham 5,NA,State Representative
78338,1992 State Representative General Election Windham-Bennington 1 District,1992,General,Windham-Bennington 1,NA,State Representative
78339,1992 State Representative General Election Windsor 1 District,1992,General,Windsor 1,NA,State Representative
78340,1992 State Representative General Election Windsor 2-1 District,1992,General,Windsor 2-1,NA,State Representative
78341,1992 State Representative General Election Windsor 2-2 District,1992,General,Windsor 2-2,NA,State Representative
78342,1992 State Representative General Election Windsor 2-3 District,1992,General,Windsor 2-3,NA,State Representative
78343,1992 State Representative General Election Windsor 3 District,1992,General,Windsor 3,NA,State Representative
78344,1992 State Representative General Election Windsor 4 District,1992,General,Windsor 4,NA,State Representative
78345,1992 State Representative General Election Windsor 5 District,1992,General,Windsor 5,NA,State Representative
78346,1992 State Representative General Election Windsor 6 District,1992,General,Windsor 6,NA,State Representative
78347,1992 State Representative General Election Windsor-Orange 1 District,1992,General,Windsor-Orange 1,NA,State Representative
78348,1992 State Representative General Election Windsor-Rutland 1 District,1992,General,Windsor-Rutland 1,NA,State Representative
78349,1992 State Representative General Election Windsor-Rutland 2 District,1992,General,Windsor-Rutland 2,NA,State Representative
78350,1992 State Representative General Election Windsor-Windham 1-1 District,1992,General,Windsor-Windham 1-1,NA,State Representative
78351,1992 Governor General Election,1992,General,,NA,Governor
78352,1992 U.S. House General Election,1992,General,,NA,U.S. House
78353,1990 State Senator General Election Addison District,1990,General,Addison,NA,State Senator
78354,1990 State Senator General Election Bennington District,1990,General,Bennington,NA,State Senator
78355,1990 State Senator General Election Caledonia District,1990,General,Caledonia,NA,State Senator
78356,1990 State Senator General Election Chittenden District,1990,General,Chittenden,NA,State Senator
78357,1990 State Senator General Election Essex-Orleans District,1990,General,Essex-Orleans,NA,State Senator
78358,1990 State Senator General Election Franklin District,1990,General,Franklin,NA,State Senator
78359,1990 State Senator General Election Grand Isle District,1990,General,Grand Isle,NA,State Senator
78360,1990 State Senator General Election Lamoille District,1990,General,Lamoille,NA,State Senator
78361,1990 State Senator General Election Orange District,1990,General,Orange,NA,State Senator
78362,1990 State Senator General Election Rutland District,1990,General,Rutland,NA,State Senator
78363,1990 State Senator General Election Washington District,1990,General,Washington,NA,State Senator
78364,1990 State Senator General Election Windham District,1990,General,Windham,NA,State Senator
78365,1990 State Senator General Election Windsor District,1990,General,Windsor,NA,State Senator
78366,1990 State Representative General Election Addison 1 District,1990,General,Addison 1,NA,State Representative
78367,1990 State Representative General Election Addison 2 District,1990,General,Addison 2,NA,State Representative
78368,1990 State Representative General Election Addison 3 District,1990,General,Addison 3,NA,State Representative
78369,1990 State Representative General Election Addison 4-1 District,1990,General,Addison 4-1,NA,State Representative
78370,1990 State Representative General Election Addison 4-2 District,1990,General,Addison 4-2,NA,State Representative
78371,1990 State Representative General Election Addison-Rutland 1 District,1990,General,Addison-Rutland 1,NA,State Representative
78372,1990 State Representative General Election Addison-Rutland 2 District,1990,General,Addison-Rutland 2,NA,State Representative
78373,1990 State Representative General Election Addison-Washington 1 District,1990,General,Addison-Washington 1,NA,State Representative
78374,1990 State Representative General Election Bennington 1 District,1990,General,Bennington 1,NA,State Representative
78375,1990 State Representative General Election Bennington 2-1 District,1990,General,Bennington 2-1,NA,State Representative
78376,1990 State Representative General Election Bennington 2-2 District,1990,General,Bennington 2-2,NA,State Representative
78377,1990 State Representative General Election Bennington 2-3 District,1990,General,Bennington 2-3,NA,State Representative
78378,1990 State Representative General Election Bennington 2-4 District,1990,General,Bennington 2-4,NA,State Representative
78379,1990 State Representative General Election Bennington 3 District,1990,General,Bennington 3,NA,State Representative
78380,1990 State Representative General Election Bennington-Rutland 1 District,1990,General,Bennington-Rutland 1,NA,State Representative
78381,1990 State Representative General Election Bennington-Rutland 2 District,1990,General,Bennington-Rutland 2,NA,State Representative
78382,1990 State Representative General Election Bennington-Windham 1 District,1990,General,Bennington-Windham 1,NA,State Representative
